source,target,weight
2,71,10
2,57,5
13,2,10
2,41,10
19,2,10
2,33,10
2,21,10
2,69,5
2,5,10
16,2,10
14,2,10
10,2,10
2,3,5
2,6,10
14,3,10
3,6,10
16,3,10
33,6,10
32,6,10
51,6,10
21,6,10
36,6,10
6,73,10
23,6,10
28,6,10
22,6,10
6,74,10
6,71,10
41,6,10
35,6,10
13,6,10
31,6,10
19,6,10
16,6,10
10,6,10
8,6,5
11,0,5
12,0,5
13,22,10
13,55,10
13,37,5
13,73,10
13,33,10
13,74,10
13,41,10
13,23,10
13,51,10
13,21,10
13,36,10
13,16,5
13,25,10
13,71,5
13,35,10
13,31,10
13,19,10
14,41,10
14,26,10
14,29,5
14,6,5
15,12,5
16,26,5
16,33,10
16,10,5
17,77,10
17,42,10
17,6,5
19,71,5
19,36,10
19,37,5
19,73,10
19,21,10
19,41,10
19,51,10
19,28,10
19,34,10
19,31,10
19,35,10
21,49,10
21,27,5
21,59,10
21,58,10
21,34,10
21,60,10
21,22,10
21,55,5
21,57,5
21,56,5
21,50,5
21,3,5
21,43,5
21,25,10
21,33,10
21,69,5
21,37,5
21,51,10
21,28,10
21,32,10
21,23,10
21,63,10
21,5,5
21,36,10
21,41,10
21,10,5
21,31,10
21,16,5
21,71,5
21,26,5
21,35,5
21,29,5
21,14,5
22,57,5
22,23,10
22,36,10
22,32,10
22,37,5
22,3,5
22,33,5
22,51,10
22,2,5
22,71,5
22,29,5
23,57,5
23,33,5
23,55,5
23,74,10
23,36,10
23,16,5
23,43,5
23,25,5
23,32,10
23,10,5
23,51,10
23,28,10
23,73,10
23,31,10
23,26,5
23,14,5
23,41,10
23,35,5
23,71,5
23,29,5
23,19,5
23,70,5
23,34,5
23,69,5
23,2,5
23,37,5
25,3,5
25,33,10
25,71,10
25,6,5
25,29,5
25,26,5
25,43,5
26,6,5
26,29,5
27,2,5
27,6,5
28,43,5
28,25,5
28,57,5
28,71,5
28,73,10
28,14,5
28,36,10
28,2,5
28,32,10
28,51,10
28,16,5
28,41,10
28,29,5
28,70,5
28,26,5
28,31,10
30,7,5
30,57,5
30,37,5
30,51,10
30,41,10
30,71,5
30,3,5
30,31,10
30,6,5
31,57,5
31,37,5
31,14,5
31,51,10
31,16,5
31,73,10
31,2,5
31,41,10
31,35,10
32,71,5
32,24,5
32,57,5
32,55,5
32,34,5
32,37,5
32,60,10
32,51,10
32,14,5
32,54,5
32,36,10
32,41,10
32,31,5
32,13,5
32,2,5
32,10,5
32,42,10
32,29,5
32,69,5
33,57,5
33,3,5
33,71,10
33,69,5
33,10,5
33,37,5
33,34,10
34,71,10
34,10,5
34,57,5
34,69,5
34,16,5
34,37,5
34,2,5
34,3,5
34,6,5
35,37,5
35,10,5
36,54,5
36,57,5
36,34,5
36,60,10
36,33,5
36,73,10
36,10,5
36,51,10
36,71,5
36,41,10
36,16,5
36,2,5
36,37,5
40,42,10
40,29,5
41,69,5
41,57,5
41,74,10
41,51,10
41,73,10
41,10,5
41,43,5
41,25,5
41,26,5
41,37,5
41,34,5
41,71,5
41,33,5
41,29,5
41,16,5
41,3,5
43,0,5
44,62,5
44,6,5
44,77,10
46,67,10
47,21,5
47,51,5
47,33,5
47,34,5
47,14,5
47,31,5
47,71,5
47,6,5
47,29,5
47,41,5
48,67,10
48,77,10
48,6,5
49,14,5
49,59,10
49,22,5
49,33,5
49,7,5
49,71,5
49,25,5
49,53,5
49,73,10
49,57,5
49,34,5
49,37,5
49,63,10
49,26,5
49,6,5
50,6,5
51,57,5
51,55,5
51,60,10
51,69,5
51,34,5
51,37,5
51,33,5
51,3,5
51,50,5
51,10,5
51,16,5
51,73,10
51,71,5
51,29,5
51,25,5
51,2,5
52,33,5
52,6,5
55,6,5
56,57,5
56,6,5
58,13,5
58,57,5
58,74,5
58,33,5
58,10,5
58,22,5
58,2,5
58,51,5
58,34,5
58,71,5
58,6,5
59,2,5
59,57,5
59,33,5
59,6,5
59,71,5
59,63,10
60,27,5
60,54,5
60,57,5
60,55,5
60,43,5
60,25,5
60,34,5
60,33,5
60,69,5
60,37,5
60,10,5
60,73,10
60,63,10
60,13,5
60,2,5
60,71,5
60,6,5
63,43,5
63,53,5
63,57,5
63,25,5
63,34,5
63,37,5
63,16,5
63,50,5
63,77,10
63,73,10
63,33,5
63,31,5
63,26,5
63,71,5
63,29,5
63,6,5
65,11,5
65,15,5
65,6,5
67,57,5
68,76,10
71,57,5
71,37,5
71,10,5
71,69,5
71,16,5
71,3,5
72,77,10
72,6,5
72,76,10
72,78,10
73,7,5
73,57,5
73,77,10
73,24,5
73,29,5
74,57,5
74,34,5
74,25,5
74,16,5
74,10,5
74,26,5
74,71,5
74,2,5
74,3,5
74,69,5
74,37,5
74,33,5
76,78,10
76,26,5
76,6,5
77,40,5
77,16,5
77,42,5
77,37,5
77,78,10
77,76,5
77,6,5
78,6,5
78,66,5
78,7,5
12,9,1
1,14,1
26,4,1
13,28,1
26,3,1
21,4,1
30,4,1
32,4,1
4,65,1
4,67,1
21,30,1
21,65,1
21,67,1
30,32,1
30,65,1
30,67,1
32,65,1
32,67,1
65,67,1
12,14,1
12,17,1
12,21,1
12,26,1
12,65,1
14,17,1
14,65,1
17,21,1
17,26,1
17,65,1
26,65,1
14,16,1
2,30,1
14,30,1
14,33,1
14,34,1
30,33,1
30,34,1
3,57,1
14,27,1
14,5,1
11,9,1
65,9,1
3,40,1
3,52,1
16,40,1
16,52,1
40,52,1
3,8,1
3,9,1
8,9,1
14,8,1
25,8,1
14,9,1
25,9,1
14,25,1
5,6,1
25,5,1
26,5,1
5,65,1
25,65,1
3,5,1
33,5,1
5,52,1
5,71,1
14,52,1
14,71,1
52,71,1
15,46,1
15,74,1
46,74,1
6,9,1
12,27,1
15,21,1
15,27,1
14,22,1
23,5,1
28,5,1
5,51,1
5,73,1
14,51,1
14,73,1
21,73,1
26,51,1
26,73,1
12,4,1
16,42,1
16,20,1
20,52,1
2,4,1
5,8,1
14,68,1
25,68,1
21,74,1
1,9,1
26,9,1
4,6,1
14,4,1
32,9,1
2,35,1
27,28,1
27,32,1
27,35,1
27,41,1
28,35,1
32,35,1
35,41,1
51,65,1
23,4,1
4,41,1
4,47,1
23,47,1
13,59,1
19,22,1
19,58,1
19,59,1
19,60,1
22,59,1
22,60,1
22,73,1
36,58,1
36,59,1
51,59,1
58,59,1
58,60,1
58,73,1
59,60,1
59,73,1
52,65,1
11,76,1
32,74,1
14,74,1
28,74,1
14,63,1
14,76,1
14,78,1
21,76,1
21,78,1
27,30,1
27,47,1
27,63,1
27,73,1
27,74,1
27,76,1
27,78,1
30,47,1
30,63,1
30,73,1
30,74,1
30,76,1
30,78,1
32,47,1
32,63,1
32,73,1
32,76,1
32,78,1
41,63,1
41,76,1
41,78,1
47,63,1
47,73,1
47,74,1
47,76,1
47,78,1
63,74,1
63,76,1
63,78,1
73,74,1
73,76,1
73,78,1
74,76,1
74,78,1
16,4,1
41,60,1
12,16,1
15,16,1
25,32,1
3,58,1
3,65,1
21,8,1
58,8,1
65,8,1
14,58,1
58,65,1
3,47,1
16,47,1
26,47,1
4,58,1
4,5,1
27,40,1
27,44,1
40,44,1
10,14,1
32,59,1
16,5,1
49,5,1
16,49,1
10,28,1
10,31,1
16,60,1
28,33,1
28,34,1
28,60,1
31,33,1
31,34,1
31,36,1
31,60,1
31,71,1
31,74,1
36,74,1
51,74,1
60,74,1
13,14,1
13,17,1
13,30,1
13,47,1
13,52,1
13,65,1
14,19,1
14,35,1
14,60,1
17,19,1
17,22,1
17,23,1
17,25,1
17,28,1
17,30,1
17,32,1
17,35,1
17,41,1
17,47,1
17,51,1
17,52,1
17,60,1
17,73,1
19,25,1
19,30,1
19,32,1
19,47,1
19,52,1
19,65,1
21,52,1
22,25,1
22,28,1
22,30,1
22,35,1
22,41,1
22,47,1
22,52,1
22,65,1
23,30,1
23,52,1
23,60,1
23,65,1
25,30,1
25,35,1
25,47,1
25,52,1
25,73,1
28,30,1
28,47,1
28,52,1
28,65,1
30,35,1
30,52,1
30,60,1
32,52,1
35,47,1
35,51,1
35,52,1
35,60,1
35,65,1
35,73,1
41,52,1
41,65,1
47,52,1
47,60,1
47,65,1
51,52,1
52,60,1
52,73,1
60,65,1
65,73,1
10,3,1
12,30,1
10,9,1
16,65,1
27,3,1
3,67,1
27,67,1
19,5,1
19,26,1
47,77,1
17,5,1
57,6,1
16,57,1
23,3,1
26,34,1
16,32,1
26,32,1
51,67,1
22,76,1
65,76,1
14,20,1
3,60,1
26,60,1
26,71,1
3,32,1
3,4,1
3,63,1
4,51,1
4,60,1
4,63,1
51,63,1
20,75,1
16,22,1
22,34,1
22,74,1
1,3,1
2,42,1
25,59,1
26,59,1
5,59,1
4,57,1
52,63,1
63,65,1
2,26,1
17,9,1
13,4,1
13,26,1
17,40,1
1,5,1
