id,handle,followers_count,friends_count,isProxy
0,"Twitter",64881062,6,0
1,"AMFI",1404,537,0
2,"anthonyli",32699,4206,0
3,"Astralwerks",24403,294,0
4,"chelseahandler",7767081,623,0
5,"KelsyKarter",12303,688,0
6,"halsey",14500384,3014,0
7,"twibbon",3074943,4,0
8,"joeandthejuice",7142,268,0
9,"UODeutschland",2830,962,0
10,"garretthilliker",7578,166,0
11,"polizei_nrw_k",87790,116,0
12,"YourAnonNews",8094744,914,0
13,"visitkingdoms",11915,840,0
14,"findingfletcher",167158,3623,0
15,"LatestAnonNews",326652,219,0
16,"DonsLens",7583,826,0
17,"peachytierra",1434,555,0
18,"Studentenweb",146,35,0
19,"xowenm",9597,1616,0
20,"hm_custserv",46840,4983,0
21,"cynthiaruth95",11952,6709,0
22,"goIdenightmare",4654,440,0
23,"annaaureum",1047,574,0
24,"animalcrossing",1491533,3,0
25,"VibeTickets",97104,349,0
26,"yungblud",613034,510,0
27,"mads_schubert",3213,490,0
28,"94shalseylwt",14862,593,0
29,"billieeilish",7125271,0,0
30,"SELFCRUCIFYING",6422,363,0
31,"badlandmermaids",12058,1397,0
32,"invincibletori",1579,839,0
33,"HalseyUpdates",40096,64,0
34,"halseysupdating",16292,174,0
35,"iamhellsey",1037,376,0
36,"wrote100letters",2948,749,0
37,"VisitBadlands",22935,0,0
38,"GoMormonMatt",3050,372,0
39,"year_progress",642042,1,0
40,"whateveroxy",32495,1001,0
41,"hurricanni",2754,976,0
42,"visualswithsam",15464,8450,0
43,"VibePay",63407,7,0
44,"SquishyAnxiety",261,192,0
45,"PhoneSwap",194,4,0
46,"spicy__sam",12,32,0
47,"Laura_Hesbacher",10,147,0
48,"emmawizzz",30,36,0
49,"3amChild",345,585,0
50,"HalseyOC",848,1,0
51,"roomforletters",6349,1112,0
52,"DojaMad",2,99,0
53,"sjerandvi",4,4,0
54,"usedtobeonf1re",507,328,0
55,"InconvenientCo",600,7,0
56,"thehalseycoop",577,6,0
57,"halseyandone",137679,70,0
58,"honey11y21",317,260,0
59,"ThemRatsss",1373,802,0
60,"roomghosts",1314,1419,0
61,"Frikadelli_R",4746,111,0
62,"ninsprivate",8,8,0
63,"viandthensome",1055,970,0
64,"IoumiIIer",1230,401,0
65,"Lisa_A_R",168,284,0
66,"stexpertknd",359,232,0
67,"thefourthmax",95,251,0
68,"LM5Germany",174,44,0
69,"lunaaureum",6946,2,0
70,"dog_feelings",3713135,3,0
71,"HalseyInsiders",42582,58,0
72,"ohfairymin",24,167,0
73,"loverinhfk",2144,2030,0
74,"HunterTheWriter",712,310,0
75,"UOHelpMeEurope",9719,2738,0
76,"sabrinasfreak",72,204,0
77,"ninsphotographs",324,598,0
78,"softieminnie",21,293,0
